Author,Authors,Title,Year,Source,Type,Cites
Dr A L Sangal,"S Kaur, LK Awasthi, AL Sangal, G Dhiman",Tunicate Swarm Algorithm: A new bio-inspired based metaheuristic paradigm for global optimization,2020.0,Engineering Applications of Artificial Intelligence,Journal article,1353
Dr A L Sangal,"A Mahindru, AL Sangal",MLDroid—framework for Android malware detection using machine learning techniques,2021.0,Neural Computing and Applications,Journal article,228
Dr A L Sangal,"HS Bindra, SK Maakar, AL Sangal",Performance evaluation of two reactive routing protocols of MANET using group mobility model,2010.0,International Journal of Computer Science,Journal article,105
Dr A L Sangal,"A Bhandari, AL Sangal, K Kumar",Characterizing flash events and distributed denial‐of‐service attacks: an empirical investigation,2016.0,Security and Communication Networks,Journal article,80
Dr A L Sangal,"A Mahindru, AL Sangal",FSDroid:-A feature selection technique to detect malware from Android using Machine Learning Techniques: FSDroid,2021.0,Multimedia Tools and Applications,Journal article,78
Dr A L Sangal,"S Mehmi, HK Verma, AL Sangal",Simulation modeling of cloud computing for smart grid using CloudSim,2017.0,Journal of Electrical Systems and Information Technology,Journal article,55
Dr A L Sangal,"K Bhandari, K Kumar, AL Sangal",Data quality issues in software fault prediction: a systematic literature review,2023.0,Artificial Intelligence Review,Journal article,46
Dr A L Sangal,"A Mahindru, AL Sangal",SemiDroid: a behavioral malware detector based on unsupervised machine learning techniques using feature selection approaches,2021.0,International Journal of Machine Learning and Cybernetics,Journal article,42
Dr A L Sangal,"N Thakur, A Singh, AL Sangal",Cloud services selection: A systematic review and future research directions,2022.0,Computer Science Review,Journal article,40
Dr A L Sangal,"A Thakur, A L Sangal, H Bindra",Quantitative measurement and comparison of effects of various search engine optimization parameters on Alexa Traffic Rank,2011.0,International Journal of Computer Applications,Journal article,40
Dr A L Sangal,"HS Pattanayak, AL Sangal, HK Verma",Community detection in social networks based on fire propagation,2019.0,Swarm and evolutionary computation,Journal article,36
Dr A L Sangal,"A Bhandari, AL Sangal, K Kumar",Destination address entropy based detection and traceback approach against distributed denial of service attacks,2015.0,International Journal of Computer Network and Information Security,Journal article,35
Dr A L Sangal,"P Sharma, AL Sangal",Building a hierarchical structure model of enablers that affect the software process improvement in software SMEs—A mixed method approach,2019.0,Computer Standards &Interfaces,Journal article,34
Dr A L Sangal,"A Mahindru, AL Sangal",SOMDROID: Android malware detection by artificial neural network trained using unsupervised learning,2022.0,Evolutionary Intelligence,Journal article,32
Dr A L Sangal,"K Kumar, AL Sangal, A Bhandari",Traceback techniques against DDOS attacks: A comprehensive review,2011.0,2011 2nd International Conference on Computer and Communication Technology …,Conference paper,32
Dr A L Sangal,"S Kaur, LK Awasthi, AL Sangal",HMOSHSSA: a hybrid meta-heuristic approach for solving constrained optimization problems,2021.0,Engineering with Computers,Journal article,29
Dr A L Sangal,"A Mahindru, AL Sangal",Deepdroid: feature selection approach to detect android malware using deep learning,2019.0,2019 IEEE 10th International Conference on Software Engineering and Service …,Conference paper,28
