,Author,Authors,Title,Year,Source,Type,Cites
0,Dr Anupam Yadav,"N Yadav, A Yadav, M Kumar",An introduction to neural network methods for differential equations,2015,Undisclosed,Book,432
1,Dr Anupam Yadav,A Yadav,AEFA: Artificial electric field algorithm for global optimization,2019,Swarm and Evolutionary Computation,Journal article,367
2,Dr Anupam Yadav,"A Sadollah, H Sayyaadi, A Yadav",A dynamic metaheuristic optimization model inspired by biological nervous systems: Neural network algorithm,2018,Applied Soft Computing,Journal article,289
3,Dr Anupam Yadav,"A Yadav, N Kumar",Artificial electric field algorithm for engineering optimization problems,2020,Expert Systems with Applications,Journal article,110
4,Dr Anupam Yadav,"N Yadav, A Yadav, M Kumar, JH Kim",An efficient algorithm based on artificial neural networks and particle swarm optimization for solution of nonlinear Troesch’s problem,2017,Neural Computing and Applications,Journal article,59
5,Dr Anupam Yadav,"A Yadav, K Deep",An efficient co-swarm particle swarm optimization for non-linear constrained optimization,2014,Journal of Computational Science,Journal article,50
6,Dr Anupam Yadav,"D Chauhan, A Yadav, F Neri",A multi-agent optimization algorithm and its application to training multilayer perceptron models,2024,Evolving Systems,Journal article,47
7,Dr Anupam Yadav,A Yadav,Discrete artificial electric field algorithm for high-order graph matching,2020,Applied Soft Computing,Journal article,38
8,Dr Anupam Yadav,"D Chauhan, A Yadav",Optimizing the parameters of hybrid active power filters through a comprehensive and dynamic multi-swarm gravitational search algorithm,2023,Engineering Applications of Artificial Intelligence,Journal article,37
9,Dr Anupam Yadav,"A Yadav, K Deep, JH Kim, AK Nagar",Gravitational swarm optimizer for global optimization,2016,Swarm and Evolutionary Computation,Journal article,35
10,Dr Anupam Yadav,"N Yadav, A Yadav, M Kumar",History of neural networks,2015,An introduction to neural network methods for differential equations,Book chapter,35
11,Dr Anupam Yadav,"D Chauhan, A Yadav",An archive-based self-adaptive artificial electric field algorithm with orthogonal initialization for real-parameter optimization problems,2024,Applied Soft Computing,Journal article,32
12,Dr Anupam Yadav,A Yadav,An intelligent model for the detection of white blood cells using artificial intelligence,2021,Computer methods and programs in biomedicine,Journal article,29
13,Dr Anupam Yadav,"N Yadav, A Yadav, JH Kim",Numerical solution of unsteady advection dispersion equation arising in contaminant transport through porous media using neural networks,2016,Computers &Mathematics with Applications,Journal article,28
14,Dr Anupam Yadav,"A Yadav, K Deep",Constrained optimization using gravitational search algorithm,2013,National Academy Science Letters,Journal article,28
15,Dr Anupam Yadav,"D Chauhan, A Yadav",An adaptive artificial electric field algorithm for continuous optimization problems,2023,Expert Systems,Book chapter,27
16,Dr Anupam Yadav,"D Chauhan, A Yadav",A competitive and collaborative-based multilevel hierarchical artificial electric field algorithm for global optimization,2023,Information Sciences,Journal article,25
17,Dr Anupam Yadav,A Yadav,Comprehensive learning gravitational search algorithm for global optimization of multimodal functions,2019,Neural Computing and Applications,Book chapter,24
18,Dr Anupam Yadav,"D Chauhan, A Yadav","A Comprehensive Survey on Artificial Electric Field Algorithm: Theories and Applications: D. Chauhan, A. Yadav",2024,Archives of Computational Methods in Engineering,Journal article,23
19,Dr Anupam Yadav,"A Yadav, K Deep",Shrinking hypersphere based trajectory of particles in PSO,2013,Applied Mathematics and Computation,Journal article,19
20,Dr Anupam Yadav,"D Chauhan, A Yadav",Binary artificial electric field algorithm,2023,Evolutionary Intelligence,Journal article,18
21,Dr Anupam Yadav,"I Bala, A Yadav",Gravitational search algorithm: a state-of-the-art review,2018,Harmony Search and Nature Inspired Optimization Algorithms: Theory and …,Other,16
22,Dr Anupam Yadav,"N Yadav, A Yadav, JC Bansal, K Deep, JH Kim","Harmony Search and Nature Inspired Optimization Algorithms: Theory and Applications, ICHSA 2018",2018,Undisclosed,Book,15
23,Dr Anupam Yadav,"Anita, A Yadav, N Kumar",Application of artificial electric field algorithm for economic load dispatch problem,2019,International conference on soft computing and pattern recognition,Conference paper,13
24,Dr Anupam Yadav,"H Sayyaadi, A Sadollah, A Yadav, N Yadav",Stability and iterative convergence of water cycle algorithm for computationally expensive and combinatorial Internet shopping optimisation problems,2019,Journal of Experimental &Theoretical Artificial Intelligence,Journal article,13
25,Dr Anupam Yadav,"A Yadav, N Yadav, JH Kim",A study of harmony search algorithms: Exploration and convergence ability,2015,Harmony Search Algorithm: Proceedings of the 2nd International Conference on …,Conference paper,12
26,Dr Anupam Yadav,"D Chauhan, A Yadav",A crossover-based optimization algorithm for multilevel image segmentation,2023,Soft Computing,Book chapter,11
27,Dr Anupam Yadav,"D Chauhan, A Yadav",A hybrid of artificial electric field algorithm and differential evolution for continuous optimization problems,2022,"Proceedings of 7th International conference on harmony search, soft …",Conference paper,11
28,Dr Anupam Yadav,"N Yadav, A Yadav, M Kumar",Neural network methods for solving differential equations,2015,An Introduction to Neural Network Methods for Differential Equations,Book chapter,11
29,Dr Anupam Yadav,"D Khurana, A Yadav, A Sadollah",A non-dominated sorting based multi-objective neural network algorithm,2023,MethodsX,Journal article,10
30,Dr Anupam Yadav,"A Yadav, A Sadollah, N Yadav, JH Kim",Self-adaptive global mine blast algorithm for numerical optimization,2020,Neural Computing and Applications,Journal article,10
31,Dr Anupam Yadav,"K Deep, A Yadav, S Kumar",Improving local and regional earthquake locations using an advance inversion technique: Particle swarm optimization,2012,World Journal of Modelling and Simulation,Journal article,10
32,Dr Anupam Yadav,"A Sajwan, A Yadav",A study of exploratory and stability analysis of artificial electric field algorithm,2022,Applied Intelligence,Journal article,8
33,Dr Anupam Yadav,"I Bala, A Yadav",Niching comprehensive learning gravitational search algorithm for multimodal optimization problems,2022,Evolutionary Intelligence,Journal article,8
34,Dr Anupam Yadav,"N Yadav, A Yadav, K Deep",Artificial neural network technique for solution of nonlinear elliptic boundary value problems,2014,Proceedings of Fourth International Conference on Soft Computing for Problem …,Conference paper,8
35,Dr Anupam Yadav,"A Yadav, JH Kim",A niching co-swarm gravitational search algorithm for multi-modal optimization,2014,Proceedings of Fourth International Conference on Soft Computing for Problem …,Conference paper,8
36,Dr Anupam Yadav,"D Chauhan, B Dutta, I Bala, N van Stein, T Bäck, A Yadav","Evolutionary Computation and Large Language Models: A Survey of Methods, Synergies, and Applications",2025,arXiv preprint arXiv:2505.,Preprint,6
37,Dr Anupam Yadav,"I Bala, A Yadav, JH Kim",Optimization for cost-effective design of water distribution networks: a comprehensive learning approach,2024,Evolutionary Intelligence,Journal article,6
38,Dr Anupam Yadav,"S Pundir, A Yadav, S Das",Recent Trends in Communication and Intelligent Systems,2021,Undisclosed,Book,6
39,Dr Anupam Yadav,"Anita, A Yadav, N Kumar, JH Kim",Development of discrete artificial electric field algorithm for quadratic assignment problems,2020,International Conference on Harmony Search Algorithm,Conference paper,6
40,Dr Anupam Yadav,"D Chauhan, A Trivedi, A Yadav",U-AEFA: Online and offline learning-based unified artificial electric field algorithm for real parameter optimization,2024,Knowledge-Based Systems,Journal article,5
41,Dr Anupam Yadav,"D Chauhan, A Yadav",Stability and agent dynamics of artificial electric field algorithm,2024,The Journal of Supercomputing,Journal article,5
42,Dr Anupam Yadav,"H Sharma, M Saraswat, A Yadav, JH Kim, JC Bansal",Congress on Intelligent Systems,2020,Proceedings of CIS,Conference paper,5
