Name,Google Scholar Link,No. of Papers as per Website
Dr A L Sangal,https://scholar.google.com/citations?user=S2tBrxcAAAAJ&hl=en&oi=ao,29
Dr Harsh K Verma,https://scholar.google.com/citations?hl=en&user=h0edtgIAAAAJ,64
Dr Renu Dhir,https://scholar.google.com/citations?user=kPU1jkQAAAAJ&hl=en&oi=ao,30
Dr Rajneesh Rani,https://scholar.google.com/citations?user=VUihxm8AAAAJ,72
Dr Avtar Singh,https://scholar.google.com/citations?user=UN4_VkEAAAAJ,16
Dr K P Sharma,https://scholar.google.com/citations?hl=en&user=QM9qltUAAAAJ,28
Dr Samayveer Singh,https://scholar.google.co.in/citations?user=DONY6GUAAAAJ&hl=en,71
Dr Urvashi,https://scholar.google.com/citations?user=1dpDSxIAAAAJ&hl=en,28
Dr Aruna Malik,https://scholar.google.co.in/citations?user=3D73AlMAAAAJ&hl=en,47
Dr Jagdeep Kaur,https://scholar.google.com/citations?user=lwNErmkAAAAJ&hl=en,8
Dr Prashant Kumar,https://scholar.google.co.in/citations?user=iTfItCMAAAAJ,10
Dr Amritpal Singh,https://scholar.google.com/citations?user=At9LsDsAAAAJ&hl=en&authuser=1,23
Dr Kunwar Pal,https://scholar.google.com/citations?hl=en&user=37CNdWQAAAAJ,12
Dr Lalatendu Behera,https://scholar.google.com/citations?user=UerEKpIAAAAJ&hl=en,3
Dr Shveta Mahajan,https://scholar.google.com/citations?hl=en&view_op=list_works&gmla=AJsN-F5eQNlN5p8lnickpEDxzsbmmnVGNngPcCLbndhog389Ny5zxgmRTdEEJWXHw90_X29IqD1DDHInA_kZ0Yyk-yQ6Frp-_Q&user=Wxjd84AAAAAJ,3
Dr Shefali Arora Chouhan,https://scholar.google.com/citations?user=RYm6f-YAAAAJ&hl=en,11
Dr Nagendra Pratap Singh,"https://scholar.google.com/citations?user=Yd-UKrsAAAAJ&hl=en&oi=ao

Web of Science :  https://www.webofscience.com/wos/author/record/JRY-4378-2023 ",29
Dr Banalaxmi Brahma,https://scholar.google.com/citations?user=HD958GcAAAAJ&hl=en,5
Dr Somesula Manoj Kumar,https://scholar.google.co.in/citations?user=IR-RwgoAAAAJ&hl=en,14
Dr Swarnima Singh Gautam,https://scholar.google.com/citations?user=u5VHApsAAAAJ&hl=en&oi=ao,2
Dr Madhurima Buragohain,https://scholar.google.com/citations?user=E9bb5RsAAAAJ&hl=en,2
Dr Naina Yadav,https://scholar.google.com/citations?user=OpNkGu8AAAAJ&hl=en&oi=ao,5
Dr Sumit Kumar,https://scholar.google.com/citations?hl=en&user=FwQGA4cAAAAJ&view_op=list_works&sortby=title,7
Dr Himanshu Verma,https://scholar.google.com/citations?hl=en&user=MD55-F8AAAAJ,5
Dr Muktesh Gupta,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=muktesh+gupta&btnG=&oq=muktes,8
Dr Pranjal,https://scholar.google.com/citations?user=rqVF0pkAAAAJ&hl=en&authuser=1,0
Dr Prashant Shukla,https://scholar.google.com/citations?user=BUW0244AAAAJ&hl=en&authuser=1,6
