Name,Google Scholar Link,No. of Papers as per Website
Dr Jaspal Singh Aujla,Jaspal Singh Aujla,40
Dr Damanjit Kaur,,5
Dr Raghaw Raman Sinha,https://scholar.google.com/citations?hl=en&user=DCir8sIAAAAJ,33
Dr Ravinder Singh,https://scholar.google.com/citations?user=x_Db1k8AAAAJ&hl=en,12
Dr Sukhjit Singh,https://scholar.google.com/citations?hl=en&user=dj8zAPoAAAAJ,31
Dr Mohammad Zafar,https://scholar.google.com/citations?user=RtSidIEAAAAJ&hl=en,17
Dr Deepika Rani,https://scholar.google.com/citations?user=qCzk-pYAAAAJ&hl=en,34
Dr Ravinder Kumar,https://scholar.google.com/citations?user=eE0Le_sAAAAJ&hl=en&authuser=1,14
Dr Anupam Yadav,https://scholar.google.com/citations?user=8g3TkDAAAAAJ&hl=en&authuser=2,31
Dr Neha Yadav,https://scholar.google.com/citations?user=H46redUAAAAJ&hl=en&oi=ao,17
Dr Sivaraj R,https://scholar.google.com/citations?hl=en&user=vPCP-HMAAAAJ&view_op=list_works&sortby=pubdate,69
Dr Saurabh Kumar Katiyar,https://scholar.google.com/citations?user=JqqtOG0AAAAJ&hl=en,17
Dr Naresh Kumar,"https://scholar.google.com/citations?user=-5xuulAAAAAJ#:~:text=Mathematical%20Methods%20in%20the%20Applied%20Sciences%2043%20(7),",25
Dr Vandita Sharma,https://scholar.google.com/citations?user=qNVBsTgAAAAJ&hl=en&oi=ao,10
Dr Manoj Kumar,"https://scholar.google.com/citations?user=E_3sTA0AAAAJ#:~:text=Articles%201%E2%80%933.%20%E2%80%AAPhD,%20Industrial%20Engineering%20and%20Operations%20Research,IIT%20Bombay%E2%80%AC%20-",4
Dr Vipin Kumar,https://scholar.google.co.in/citations?user=fVPc7TAAAAAJ&hl=en,34
Dr Jaydeep Das,https://scholar.google.com/citations?user=jQdOJaQAAAAJ,3
Dr Madnesh Kumar Gupta,https://scholar.google.com/citations?user=SjqAWokAAAAJ&hl=en,2
Dr Samsonanoshbabu P,https://scholar.google.com/citations?authuser=4&user=mSMT5yAAAAAJ,1
